Class,Precision,Recall,F1-Score,Support
angry,0.8493150684931506,0.29245283018867924,0.43508771929824563,212
disgust,0.32456140350877194,0.8409090909090909,0.46835443037974683,44
fear,0.30303030303030304,0.47619047619047616,0.37037037037037035,21
happy,0.9893617021276596,0.6305084745762712,0.7701863354037267,295
neutral,0.996078431372549,1.0,0.9980353634577603,254
sad,0.6055045871559633,0.6470588235294118,0.6255924170616114,102
surprise,0.6625,0.7361111111111112,0.6973684210526315,72
